ordno,custno,date,time,prodno,qty,linetotal,city,gender,dob,catcode,margin
1001,119,01/01/2017,11:04:04,14,8,72,Eindhoven,f,24/10/1992,lux,0.12
1002,107,08/01/2017,07:09:39,12,7,63,Tilburg,f,23/06/1986,zuv,0.12
1002,107,08/01/2017,15:16:50,15,2,28,Tilburg,f,23/06/1986,zuv,0.08
1002,107,08/01/2017,19:26:07,10,2,20,Tilburg,f,23/06/1986,lux,0.08
1003,102,09/01/2017,12:29:55,13,8,120,Venlo,m,03/10/1972,zuv,0.23
1003,102,09/01/2017,08:46:48,15,6,84,Venlo,m,03/10/1972,zuv,0.08
1004,119,09/01/2017,14:44:31,17,8,80,Eindhoven,f,24/10/1992,bio,0.08
1004,119,09/01/2017,08:29:05,10,4,40,Eindhoven,f,24/10/1992,lux,0.08
1005,115,10/01/2017,20:05:23,16,9,126,Eindhoven,f,19/10/1975,bio,0.23
1005,115,10/01/2017,09:25:39,14,6,54,Eindhoven,f,19/10/1975,lux,0.12
1006,103,11/01/2017,08:54:05,17,5,50,Tilburg,m,26/01/1975,bio,0.08
1006,103,11/01/2017,13:18:31,12,10,90,Tilburg,m,26/01/1975,zuv,0.12
1007,111,15/01/2017,17:03:39,18,5,40,Helmond,m,12/01/1986,bio,0.19
1007,111,15/01/2017,07:20:51,10,5,50,Helmond,m,12/01/1986,lux,0.08
1008,120,15/01/2017,13:38:49,15,10,140,Helmond,f,20/11/1972,zuv,0.08
1009,112,16/01/2017,19:19:15,14,10,90,Tilburg,m,11/01/1977,lux,0.12
1010,109,17/01/2017,10:19:45,11,5,35,Tilburg,f,08/05/1986,zuv,0.23
1011,113,18/01/2017,16:28:30,12,9,81,Venlo,m,05/09/1966,zuv,0.12
1012,107,19/01/2017,10:33:37,10,4,40,Tilburg,f,23/06/1986,lux,0.08
1012,107,19/01/2017,20:27:43,11,8,56,Tilburg,f,23/06/1986,zuv,0.23
1013,107,21/01/2017,10:34:49,15,9,126,Tilburg,f,23/06/1986,zuv,0.08
1013,107,21/01/2017,12:34:05,13,4,60,Tilburg,f,23/06/1986,zuv,0.23
1014,105,22/01/2017,17:14:26,14,4,36,Helmond,m,06/07/1986,lux,0.12
1015,108,23/01/2017,13:19:59,15,7,98,Helmond,f,30/06/1978,zuv,0.08
1015,108,23/01/2017,10:03:27,12,9,81,Helmond,f,30/06/1978,zuv,0.12
1015,108,23/01/2017,17:58:57,14,6,54,Helmond,f,30/06/1978,lux,0.12
1016,120,28/01/2017,13:11:42,13,2,30,Helmond,f,20/11/1972,zuv,0.23
1016,120,28/01/2017,09:55:59,17,7,70,Helmond,f,20/11/1972,bio,0.08
1017,104,30/01/2017,07:08:56,17,1,10,Venlo,m,12/03/1974,bio,0.08
1018,102,31/01/2017,13:09:08,14,8,72,Venlo,m,03/10/1972,lux,0.12
1019,103,01/02/2017,16:15:40,14,8,72,Tilburg,m,26/01/1975,lux,0.12
1020,114,01/02/2017,20:18:56,17,1,10,Tilburg,m,02/01/1980,bio,0.08
1021,113,02/02/2017,13:39:27,10,5,50,Venlo,m,05/09/1966,lux,0.08
1021,113,02/02/2017,15:49:12,17,6,60,Venlo,m,05/09/1966,bio,0.08
1022,118,03/02/2017,15:56:49,10,3,30,Eindhoven,f,25/11/1965,lux,0.08
1022,118,03/02/2017,13:42:29,15,6,84,Eindhoven,f,25/11/1965,zuv,0.08
1022,118,03/02/2017,18:47:19,14,8,72,Eindhoven,f,25/11/1965,lux,0.12
1023,114,04/02/2017,09:53:09,13,8,120,Tilburg,m,02/01/1980,zuv,0.23
1023,114,04/02/2017,11:29:07,14,2,18,Tilburg,m,02/01/1980,lux,0.12
1023,114,04/02/2017,18:33:41,17,6,60,Tilburg,m,02/01/1980,bio,0.08
1024,115,05/02/2017,09:49:22,13,8,120,Eindhoven,f,19/10/1975,zuv,0.23
1025,111,05/02/2017,10:14:19,18,3,24,Helmond,m,12/01/1986,bio,0.19
1026,114,06/02/2017,17:49:43,14,8,72,Tilburg,m,02/01/1980,lux,0.12
1027,117,09/02/2017,16:37:16,17,9,90,Eindhoven,m,14/01/1983,bio,0.08
1028,116,12/02/2017,07:17:48,17,2,20,Helmond,f,04/10/1981,bio,0.08
1029,120,15/02/2017,14:07:50,15,10,140,Helmond,f,20/11/1972,zuv,0.08
1030,109,16/02/2017,12:15:20,17,8,80,Tilburg,f,08/05/1986,bio,0.08
1030,109,16/02/2017,08:11:54,18,9,72,Tilburg,f,08/05/1986,bio,0.19
1031,107,21/02/2017,12:34:02,14,2,18,Tilburg,f,23/06/1986,lux,0.12
1032,109,23/02/2017,15:59:38,19,1,4,Tilburg,f,08/05/1986,lux,0.19
1032,109,23/02/2017,18:01:34,15,9,126,Tilburg,f,08/05/1986,zuv,0.08
1033,101,23/02/2017,07:36:40,15,10,140,Eindhoven,m,26/04/1985,zuv,0.08
1033,101,23/02/2017,18:59:28,14,2,18,Eindhoven,m,26/04/1985,lux,0.12
1033,101,23/02/2017,14:36:03,11,5,35,Eindhoven,m,26/04/1985,zuv,0.23
1034,104,25/02/2017,06:45:16,17,5,50,Venlo,m,12/03/1974,bio,0.08
1035,117,26/02/2017,14:39:11,11,8,56,Eindhoven,m,14/01/1983,zuv,0.23
1035,117,26/02/2017,16:00:57,14,1,9,Eindhoven,m,14/01/1983,lux,0.12
1036,105,27/02/2017,10:35:21,16,8,112,Helmond,m,06/07/1986,bio,0.23
1036,105,27/02/2017,20:46:01,10,4,40,Helmond,m,06/07/1986,lux,0.08
1037,105,28/02/2017,11:59:45,10,5,50,Helmond,m,06/07/1986,lux,0.08
1037,105,28/02/2017,08:27:31,18,8,64,Helmond,m,06/07/1986,bio,0.19
1037,105,28/02/2017,11:54:25,19,5,20,Helmond,m,06/07/1986,lux,0.19
1038,102,28/02/2017,07:40:27,14,10,90,Venlo,m,03/10/1972,lux,0.12
1038,102,28/02/2017,17:35:34,17,9,90,Venlo,m,03/10/1972,bio,0.08
1039,105,02/03/2017,06:41:11,17,9,90,Helmond,m,06/07/1986,bio,0.08
1040,115,02/03/2017,08:44:36,11,2,14,Eindhoven,f,19/10/1975,zuv,0.23
1040,115,02/03/2017,20:23:12,19,9,36,Eindhoven,f,19/10/1975,lux,0.19
1041,117,02/03/2017,13:13:28,18,9,72,Eindhoven,m,14/01/1983,bio,0.19
